,comment,rate
2587,پردازنده های Core i5 و Core i3 نیز ذاتا دو هسته ای با توان ساختن دو هسته‌ی مجازی دیگر هستند.,0.0
22591,"سلام به دوستای عزیزم 
عزاداری هاتون قبول باشه",1.0
141037,کلا پولتون رو دور نریزیزد,-1.0
58593,از صمیم قلب امیدوارم دایانا با کارن بمونه و پوریا رو فراموش کنه,1.0
5712,آنطور که اپل ادعا می کند آیپاد شافل دارای طراحی فوق العاده است، که البته ادعایی غیر واقعی نیست.,1.0
168940,در کل کفش بدی نیست ولی من خودم دادشتم دور دوخت ولی با این قیمت این کفش ارزش خرید نداره,0.6799999999999999
6751,به دلیل وجود پنل IPS بر روی این صفحه نمایش،  عملکرد آن در زوایای مختلف نیز بسیار مناسب و قابل قبول است.,1.0
43698,"همکارم این دانگل رو خریده بود و بعد از گذشت حدود 10 روز استفاده میگفت که بسیار دانگل خوبی است. لگ ندارد. افت کیفیت ندارد. برد خوبی دارد در حد 5 متر، خیلی راحت متصل میشود و داغ نمیکند.
در شگفت انگیز ارزش خرید بالایی دارد. 
دیجی جان شگفت انگیزش کن من و چندتا دوستان میخوایم خرید کنیم.",0.1999999999999999
34297,چقد فاصله داریم!!!,1.0
161474,خیلی زود شارژ خالی میکنه,0.8200000000000001
67312,گوشت استفاده شده در غذاها بوی نامطبوع داشت و سفت و ناپخته بود,1.0
1279,جديد هم هست,0.5
41875,بسیار با کیفیت بود.,-1.0
2530,با اینکه لنز آن به جای توانایی زوم 6 برابر،  توانایی زوم 5 برابر را دارد،  ولی کمینه‌ی نسبت کانونی لنز W630 در حالت واید فقط f/2.6 می‌باشد که برای عکاسی در شرایط نوری ضعیف عالیست.,0.5
80831,وسیله خوبی هست ولی تا بازش کردم جنس پلاستیکش تو ذوقم زد.,0.0
55065,زیبا بود . امیدوارم شعر های زیبا تری از ایشون بیرون بیاید . از طاقچه هم بابت رایگان کردنش ممنونم,1.0
122559,قیمتش عالیه  ولی تنها اشکالی که داره صداش خیلی خفنه,-0.04
50141,متاسفانه کیفیت پیتزا خیلی پایین بود و مزه‌ی موندگی میداد. امیدوارم برای جلب رضایت مشتری کیفت غذا رو ببرند بالا,1.0
2549,همه چيزش هم در حد خوبيه.,0.5
141,همچنین، در حالت آماده باش نیز این گوشی تا 300 ساعت روشن می‌ماند که عملکرد مناسبی برای یک باتری 1300 میلی آمپری محسوب می‌شود.,0.0
59987,"کلم شور سفارش داده بودم , کلم ترشی آوردن",1.0
51438,لطفا ترجمه های قوی تری را برای خرید ارایه بدید.,-0.6
116061,برای مادرم خریدم که بخواد یه زنگی چیزی بزنه.,1.0
62040,چیکن استریپس یککم ترش بود … ولی بطور کلی عالی.,-1.0
34790,"سلام اینجور کتاب ها با نویسندگان غربی الگوهایی رو مطرح می کنن که مطابق با وضع اقتصادی و بازار خودشون هست نه واسه بازار متورم ما
مثلا برایان تریسی تو بیشتر کتاب هاش میگه پس انداز کنید حتی کم این حرفش واسه آمریکا و اروپا خوبه که پولش ارزشش رو حفظ میکنه نه تومن و ریال که ارزشش تقریبا در هر ۷یا۸سال صد درصد فرق می کنه",1.0
2383,این در حالی است که صفحه نمایش این گوشی مجهز به فن‌آوری Bravia می‌باشد که کیفیت بالای تصویر را نیز تضمین می‌کند.,0.5
8824,با تشکر از سايت محبوب و پر تلاش ديجي کالا اين محصول بهترين گزينه براي دانشجويان و اساتيد در رشته هاي مختلف هستش، به ويژه که آي بوکش تقويت شده.,1.0
37161,خوب(متوسط) بود...,0.2
88372,"دوستانی که میگن ترجمه به شدت بد بود رو من درک نمی کنم چون یا کامل نخوندن یا کلا یه سری از شنیده هارو بدون فکر تکرار میکنن
دوستانی هم که مقایسه انجام دادند و گفته برای بهمن فرزانه خیلی بهتره یا کاوه میر عباسی قطعا این ترجمه رو نخوندن چون فکر نمی کنم حداقل تو ایران کسی دوتا تر جمه مختلف از یه کتاب رو بخونه همونطور که بنده فقط ترجمه آقای پارسای رو خوندم. تنها نسخه ای که از روی زبان اصلی (اسپانیایی) ترجمه شده ترجمه آقا  کیومرث پارسای هست.",0.92
37135,نانها باکیفیت خوب بودوبه موقع ارسال کردن تشکر,-1.0
15242,خیلی خیلی داستان جالبی شده,1.0
